Start Time:  09-May-17 11:55:53           Time Completed:  09-May-17 12:11:12       Elapsed Time:  00:15:42
Sample ID:     170509, Co-Al A0, 18,5 mg, RT run

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.exp
Data File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.txt
Plot File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.stp
VSM Data File: C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 9352.67 	 0.655474 	-270.01 	
 9335.74 	 0.655318 	-270.01 	
 9322.08 	 0.655091 	-270.01 	
 9310.68 	 0.654884 	-270.01 	
 9289.06 	 0.654786 	-270.01 	
 9272.53 	 0.654777 	-270.01 	
 9257.29 	 0.654618 	-270.01 	
 9249.54 	 0.654477 	-270.01 	
 9234.5 	 0.654459 	-270.01 	
 9219.73 	 0.654168 	-270.01 	
 9202.47 	 0.654028 	-270.01 	
 9185.59 	 0.654053 	-270.01 	
 9173.29 	 0.653932 	-270.01 	
 9160.09 	 0.653703 	-270.01 	
 9144.87 	 0.653574 	-270 	
 9125.42 	 0.653451 	-270.01 	
 9111.89 	 0.653312 	-270.01 	
 9093.01 	 0.653197 	-270.01 	
 9078.18 	 0.653195 	-270.01 	
 9062.18 	 0.653043 	-270 	
 9050.33 	 0.652877 	-270.01 	
 9037.05 	 0.65273 	-270.01 	
 9021.61 	 0.652607 	-270.01 	
 9005.53 	 0.652462 	-270.01 	
 8991.04 	 0.652355 	-270.01 	
 8976.24 	 0.652256 	-270.01 	
 8960.78 	 0.652137 	-270.01 	
 8947.52 	 0.651917 	-270.01 	
 8928.48 	 0.651958 	-270.01 	
 8915.6 	 0.651609 	-270.01 	
 8899.5 	 0.651401 	-270.01 	
 8885.21 	 0.651313 	-270 	
 8869.06 	 0.651336 	-270.01 	
 8855.62 	 0.651204 	-270.01 	
 8838.43 	 0.651035 	-270.01 	
 8829.05 	 0.650832 	-270.01 	
 8809.78 	 0.650738 	-270.01 	
 8799.42 	 0.650652 	-270.01 	
 8785.15 	 0.6504 	-270.01 	
 8764.8 	 0.650302 	-270.01 	
 8749.88 	 0.65021 	-270.01 	
 8733.94 	 0.650088 	-270.01 	
 8722.81 	 0.649793 	-270.01 	
 8708.71 	 0.649835 	-270 	
 8689.16 	 0.649704 	-270 	
 8675.29 	 0.649438 	-270.01 	
 8659.13 	 0.649296 	-270.01 	
 8649.82 	 0.649215 	-270.01 	
 8630.65 	 0.649152 	-270.01 	
 8616.37 	 0.648969 	-270.01 	
 8602.46 	 0.648696 	-270.01 	
 8584.25 	 0.648754 	-270.01 	
 8570.86 	 0.648618 	-270 	
 8556.17 	 0.648442 	-270 	
 8541.85 	 0.64815 	-270.01 	
 8524.83 	 0.648087 	-270.01 	
 8512.33 	 0.648107 	-270.01 	
 8496.04 	 0.647908 	-270.01 	
 8481.66 	 0.647699 	-270.01 	
 8464.84 	 0.647547 	-270.01 	
 8454.3 	 0.647451 	-270.01 	
 8444.57 	 0.647381 	-270.01 	
 8429.07 	 0.647207 	-270.01 	
 8407.72 	 0.646994 	-270 	
 8390.89 	 0.646891 	-270.01 	
 8375.68 	 0.646786 	-270.01 	
 8361.79 	 0.646614 	-270 	
 8348.22 	 0.646372 	-270 	
 8329.89 	 0.646222 	-270.01 	
 8315.88 	 0.645922 	-270.01 	
 8299.47 	 0.64609 	-270.01 	
 8286.62 	 0.645988 	-270.01 	
 8269.91 	 0.645725 	-270.01 	
 8256.27 	 0.645612 	-270.01 	
 8240.94 	 0.645428 	-270.01 	
 8227.22 	 0.64522 	-270.01 	
 8209.33 	 0.645132 	-270.01 	
 8195.37 	 0.645023 	-270.01 	
 8182.6 	 0.644801 	-270.01 	
 8166.93 	 0.644704 	-270.01 	
 8149.83 	 0.644429 	-270.01 	
 8135.34 	 0.644318 	-270.01 	
