Start Time:  08-Mar-17 23:49:20           Time Completed:  08-Mar-17 23:55:53       Elapsed Time:  00:06:48
Sample ID:     170308, MOGV Co-Ni 53,30mg, T-run 1-2

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.exp
Data File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.txt
Plot File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.stp
VSM Data File: C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 12.9344 	 0.137213 	 550.017 	
 11.9793 	 0.134926 	 550.022 	
 10.9583 	 0.132765 	 550.022 	
 9.9912 	 0.130537 	 550.022 	
 9.0301 	 0.128052 	 550.02 	
 7.95823 	 0.12586 	 550.021 	
 7.29055 	 0.124259 	 550.018 	
 6.16478 	 0.121684 	 550.012 	
 5.05997 	 0.118843 	 550.014 	
 3.9881 	 0.116575 	 550.018 	
 2.97011 	 0.114263 	 550.018 	
 2.04195 	 0.111837 	 550.018 	
 0.997024 	 0.109524 	 550.024 	
 0.00890429 	 0.107168 	 550.022 	
-1.06978 	 0.104738 	 550.016 	
-2.03168 	 0.102296 	 550.018 	
-2.9786 	 0.0999772 	 550.017 	
-3.98245 	 0.0974958 	 550.023 	
-5.00728 	 0.0950348 	 550.023 	
-5.98716 	 0.0925335 	 550.019 	
-7.006 	 0.0902755 	 550.019 	
-7.86302 	 0.0880534 	 550.022 	
-9.02869 	 0.0856787 	 550.016 	
-10.0146 	 0.0831794 	 550.013 	
-10.9405 	 0.0808278 	 550.015 	
-11.9204 	 0.0783236 	 550.015 	
-12.9722 	 0.0758522 	 550.01 	
-13.9641 	 0.0734628 	 550.018 	
-14.9679 	 0.0711418 	 550.016 	
-15.9178 	 0.0687382 	 550.02 	
-16.9636 	 0.0662127 	 550.02 	
-18.0274 	 0.0637628 	 550.019 	
-18.9204 	 0.0613762 	 550.021 	
-19.8943 	 0.0589733 	 550.02 	
-20.9731 	 0.0564213 	 550.018 	
-21.9379 	 0.0541063 	 550.024 	
-22.8909 	 0.0515855 	 550.023 	
-24.0056 	 0.0490252 	 550.025 	
-24.8926 	 0.046576 	 550.026 	
-25.9564 	 0.044075 	 550.021 	
-27.0112 	 0.0417079 	 550.025 	
-27.9521 	 0.0391985 	 550.025 	
-28.6533 	 0.0373142 	 550.024 	
-29.5702 	 0.0351492 	 550.025 	
-30.9247 	 0.0318802 	 550.024 	
-32.0394 	 0.0291082 	 550.023 	
-32.9564 	 0.0267922 	 550.023 	
-33.9422 	 0.0243602 	 550.022 	
-34.9371 	 0.0219247 	 550.024 	
-35.8331 	 0.0193442 	 550.024 	
-37.0137 	 0.0168143 	 550.02 	
-37.8618 	 0.0144002 	 550.019 	
-39.0095 	 0.0118532 	 550.02 	
-39.9744 	 0.00934607 	 550.018 	
-40.9003 	 0.00679218 	 550.023 	
-41.9281 	 0.00440858 	 550.024 	
-42.944 	 0.00184236 	 550.024 	
-43.9238 	-0.000733771 	 550.022 	
-44.9756 	-0.00307719 	 550.019 	
-45.9136 	-0.00558715 	 550.018 	
-46.9204 	-0.00801935 	 550.019 	
